key,en,fr,selector,type,attr
# Heading
accountChangePassword.title,Change Password,Modifier le mot de passe,#MainCopy_ctl29_UpdatePanel1 h2,text,

# Current password
accountChangePassword.current.label,Current Password,Mot de passe actuel,label[for="MainCopy_ctl29_tbCurrentPassword"],text,
accountChangePassword.current.required,Enter current password,Entrez le mot de passe actuel,#MainCopy_ctl29_RequiredFieldValidator3,text,

# New password
accountChangePassword.new.label,New Password,Nouveau mot de passe,label[for="MainCopy_ctl29_tbNewPassword"],text,
accountChangePassword.new.required,Enter new password,Entrez un nouveau mot de passe,#MainCopy_ctl29_RequiredFieldValidator1,text,

# Policy feedback (static labels shown beside the glyphs)
accountChangePassword.policy.length,8 - 30 Characters,8 à 30 caractères,#MainCopy_ctl29_lblPassLength,text,
accountChangePassword.policy.upper,1 Capital Letter(s),1 lettre majuscule,#MainCopy_ctl29_lblCapitalLetters,text,
accountChangePassword.policy.number,1 Number(s) (0-9),1 chiffre (0–9),#MainCopy_ctl29_lblNumbers,text,
accountChangePassword.policy.special,1 Special Character(s),1 caractère spécial,#MainCopy_ctl29_lblSpecialCharacters,text,

# Confirm new password
accountChangePassword.confirm.label,Confirm New Password,Confirmez le nouveau mot de passe,label[for="MainCopy_ctl29_tbConfirmPassword"],text,
accountChangePassword.confirm.feedback,Passwords Match,Les mots de passe correspondent,#MainCopy_ctl29_lblConfirmFeedback,text,

# Buttons
accountChangePassword.save,Save,Enregistrer,#MainCopy_ctl29_Btn_Save,attr,value
accountChangePassword.cancel,Cancel,Annuler,#MainCopy_ctl29_CancelTop,attr,value
