key,en,fr,selector,type,attr
inbox.nav.inbox,Inbox,Boîte de réception,ul.nav.nav-pills li:nth-child(1) a:last-of-type,text,
inbox.nav.sent,Sent Items,Éléments envoyés,ul.nav.nav-pills li:nth-child(2) a:last-of-type,text,
inbox.nav.requests,Contact Requests,Demandes de contact,ul.nav.nav-pills li:nth-child(3) a:last-of-type,text,
inbox.nav.invites,Community Invitations,Invitations de la communauté,ul.nav.nav-pills li:nth-child(4) a:last-of-type,text,

inbox.search.label,Search,Recherche,#MainCopy_ctl29_ucInboxTab_ucSimpleSearchMessage_lblSearchText,text,
inbox.search.placeholder,Search,Rechercher,#MainCopy_ctl29_ucInboxTab_ucSimpleSearchMessage_txtsearch,attr,placeholder
inbox.search.iconAria,Search,Rechercher,#MainCopy_ctl29_ucInboxTab_ucSimpleSearchMessage_btnSearch .glyphicon-search,attr,aria-label

inbox.compose.button,Compose,Nouveau message,#btnCompose,text,
inbox.compose.buttonAria,Compose,Nouveau message,#btnCompose,attr,aria-label

inbox.empty,No Messages,Aucun message,.bg-warning,text,

inbox.bulk.toggleSelectAll,Select All,Sélectionner tout,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_ToggleSelectAll,attr,title

inbox.invites.empty,You have no pending community Request(s),Vous n’avez aucune demande de communauté en attente,#MainCopy_ctl29_ucInboxTab_ucInvitation_lblNoCommunities,text,
inbox.requests.heading,Contact Requests,Demandes de contact,#MainCopy_ctl29_ucInboxTab_ucFriendRequests_lblMainHead,text,
inbox.requests.empty,You have no pending contact requests,Vous n’avez aucune demande de contact en attente,#MainCopy_ctl29_ucInboxTab_ucFriendRequests_lblNofriends,text,

inbox.bulk.toggleSelectAll.aria,select all emails,sélectionner tous les courriels,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_ToggleSelectAll,attr,aria-label
inbox.bulk.toggleSelectAll.title,Select All,Sélectionner tout,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_ToggleSelectAll,attr,title
inbox.bulk.allLabel,All,Tout,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_pnlOptions .chk-all .btn-group,text,

inbox.actions.markRead,Mark as Read,Marquer comme lu,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_MarkRead,text,
inbox.actions.toggleDropdown.sronly,Toggle Dropdown,Basculer le menu,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_pnlOptions .dropdown-toggle .sr-only,text,
inbox.actions.markUnread,Mark as Unread,Marquer comme non lu,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_MarkUnread,text,
inbox.actions.deleteSelected,Delete Selected Messages,Supprimer les messages sélectionnés,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_DeleteSelected,text,
