key,en,fr,selector,type,attr
# Heading + intro
accountSettingsPrivacy.title,Privacy Settings,Paramètres de confidentialité,#MainCopy_ctl29_PrivacyUpdatePanel h2,text,
accountSettingsPrivacy.intro.1,Your profile may be accessed through the member directory and community rosters.  You have control over the information others see on your profile.,Votre profil peut être consulté dans l’annuaire des membres et les listes des communautés. Vous contrôlez les informations visibles sur votre profil.,#MainCopy_ctl29_PrivacyUpdatePanel .row .col-md-12 p:nth-of-type(1),text,

# Master toggle (Yes/No) next to "Include in member directory"
accountSettingsPrivacy.include.label,I would like to be included in the member directory and community rosters:,Je souhaite être inclus dans l’annuaire des membres et les listes des communautés :,label[for="cbPrivacyIncludeInMemberDirectory"],text,
accountSettingsPrivacy.include.yes,Yes,Oui,#MainCopy_ctl29_PrivacySettings_IncludeInMemberDirectory + .bootstrap-switch .bootstrap-switch-handle-on,text,
accountSettingsPrivacy.include.no,No,Non,#MainCopy_ctl29_PrivacySettings_IncludeInMemberDirectory + .bootstrap-switch .bootstrap-switch-handle-off,text,

# Row labels (left column)
accountSettingsPrivacy.picture,Picture,Photo,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl00_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.company,Company Information,Renseignements sur l’entreprise,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl01_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.job,Job Title and Department,Titre du poste et service,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl02_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.address,Address Lines,Adresses,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl03_ucRdBtnChildList_lblheading,text,
# accountSettingsPrivacy.cityStateZip,City, State, Zip,Ville, province/État, code postal,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl04_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.country,Country,Pays,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl05_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.website,Website URL,Adresse du site Web,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl06_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.phone1,Phone1,Téléphone 1,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl07_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.phone2,Phone2,Téléphone 2,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl08_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.email,Email Address,Adresse courriel,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl09_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.sendMessage,Send Message,Envoyer un message,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl10_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.addAsContact,Add as Contact,Ajouter comme contact,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl11_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.bio,Bio,Biographie,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl12_ucRdBtnChildList_lblheading,text,
accountSettingsPrivacy.education,Education,Études,#ctl00_MainCopy_ctl29_PrivacySettings_ucSecuritySettingsBaseControl_rptRadioGroup_ctl13_ucRdBtnChildList_lblheading,text,
