key,en,fr,selector,type,attr
communities.title,Communities,Communautés,#MainCopy_ctl29_TitleText,text,
# comm.btn.disc.title,last discussions posted {n} days ago,dernières discussions publiées il y a {n} jours,a[qa-attribute="community-discussions-count-btn"],attr,title
# comm.btn.docs.title,last library updated {n} days ago,dernière bibliothèque mise à jour il y a {n} jours,a[qa-attribute="community-documents-count-btn"],attr,title
# comm.btn.mem.title,last person joined {n} days ago,dernière personne inscrite il y a {n} jours,a[qa-attribute="community-members-count-btn"],attr,title

# comm.btn.disc.title,"Discussions","Discussions",a[qa-attribute="community-discussions-count-btn"],attr,title
# comm.btn.docs.title,"Libraries","Bibliothèques",a[qa-attribute="community-documents-count-btn"],attr,title
# comm.btn.mem.title,"Members","Membres",a[qa-attribute="community-members-count-btn"],attr,title

comm.btn.disc.label,"Discussions ","Discussions ",,,
comm.btn.docs.label,"Libraries ","Bibliothèques ",,,
comm.btn.mem.label,"Members ","Membres ",,,
comm.btn.disc.attachKey,comm.btn.disc.label,comm.btn.disc.label,a[qa-attribute="community-discussions-count-btn"],attr,data-i18n-text
comm.btn.docs.attachKey,comm.btn.docs.label,comm.btn.docs.label,a[qa-attribute="community-documents-count-btn"],attr,data-i18n-text
comm.btn.mem.attachKey,comm.btn.mem.label,comm.btn.mem.label,a[qa-attribute="community-members-count-btn"],attr,data-i18n-text


