key,en,fr,selector,type,attr
# Contributions → List
contribList.noData,Nothing has yet been shared.,Rien n’a encore été partagé,.NoDataBadSearch,text,
contribList.search.label,search criteria = ,critères de recherche = ,#SearchCriteriaLabel,text,
contribList.search.value.ALL,ALL,TOUT,#SearchTerm,text,

filter_option_all,View all items,Afficher tous les éléments,#MainCopy_ctl29_FilterOptionDropDown option[value="all"],text,
filter_option_published,View published items,Afficher les éléments publiés,#MainCopy_ctl29_FilterOptionDropDown option[value="published"],text,
filter_option_draft,View draft items,Afficher les brouillons,#MainCopy_ctl29_FilterOptionDropDown option[value="draft"],text,
filter_option_scheduled,View scheduled items,Afficher les éléments planifiés,#MainCopy_ctl29_FilterOptionDropDown option[value="scheduled"],text,

search.result.foundin.label,Found In,Trouvé dans,span[id*="SearchResult_FoundInIn_"] > span,text,
search.result.postedby.label,Posted By,Publié par,span[id*="SearchResult_PostedBy_"] > span,text,
