key,en,fr,selector,type,attr

# NEW
login.panel.title,Members - Login here,Membres — Connectez-vous ici,[id^="MainCopy_"][id$="_LoginSectionH2"],text,
login.email.label,Email,Adresse courriel,[id^="MainCopy_"][id$="_LoginUserNameLabel"],text,
login.password.label,Password,Mot de passe,[id^="MainCopy_"][id$="_LoginPasswordLabel"],text,
login.signup.link,New User/Register Now,Nouveau membre / Inscrivez-vous,[id^="MainCopy_"][id$="_signupLabel"],text,
login.forgot.link,Did You Forget Your Password?,Mot de passe oublié ?,[id^="MainCopy_"][id$="_ForgotPassword"],text,
login.remember.label," Stay signed in for 5 days"," Rester connecté pendant 5 jours",input[type="checkbox"][id^="MainCopy_"][id$="_Remember"] + label,text,
login.button,Login,Connexion,input[type="submit"][id^="MainCopy_"][id$="_LoginRecaptchaButton"],attr,value
login.submit,Create Account,Créer un compte,input[type="submit"][id^="MainCopy_"][id$="_CreateAccountButton"],attr,value


# Regiser Form

signup.title,Not registered yet? Create an account,Pas encore inscrit ? Créez un compte,[id$="_SignupSection"] .panel-title strong,text,
email.label,Email,Courriel,[id$="_EmailAddressLabel"],text,
firstname.label,First Name,Prénom,[id$="_FirstNameLabel"],text,
lastname.label,Last Name,Nom,[id$="_LastNameLabel"],text,
company.label,Company Name,Nom de l’organisme,[id$="_CompanyNameLabel"],text,
city.label,City,Ville,[id$="_CityLabel"],text,
country.label,Country,Pays,[id='lblCountry'],text,
state.label,State/Province,État/Province,[id='lblState'],text,
zopcode.label,Postal Code, Code postal,[id='MainCopy_ctl14_ZipCodeLabel1'],text,

# NEW
register.required.email,Email must not be empty,Le courriel ne doit pas être vide,[id^="MainCopy_"][id$="_RequiredFieldValidator1"],text,
register.required.firstName,First Name must not be empty,Le prénom ne doit pas être vide,[id^="MainCopy_"][id$="_RequiredFieldValidator2"],text,
register.required.lastName,Last Name must not be empty,Le nom de famille ne doit pas être vide,[id^="MainCopy_"][id$="_RequiredFieldValidator3"],text,
register.required.company,Company Name must not be empty,Le nom de l’entreprise ne doit pas être vide,[id^="MainCopy_"][id$="_RequiredFieldValidator4"],text,

# NEW
register.required.password,Password must be set,Le mot de passe est obligatoire,[id^="MainCopy_"][id$="_RequiredFieldValidator5"],text,
register.required.passwordConfirm,Confirmation password must equal password entered,Le mot de passe de confirmation doit correspondre au mot de passe saisi,[id^="MainCopy_"][id$="_RequiredFieldValidator6"],text,


password.policy.html,Length must be between 8 - 30 characters.<br>Must contain at least 1 capital letter(s).<br>Must contain at least 1 numeric character(s) (0-9).<br>Must contain at least 1 special character(s): ~!@#$%^&amp;*()_+{}:"&lt;&gt;?-,La longueur doit être comprise entre 8 et 30 caractères.<br>oit contenir au moins 1 lettre majuscule.<br>Doit contenir au moins 1 chiffre (0-9).<br>Doit contenir au moins 1 caractère spécial (~!@#$%^&*()_+{}:"<>?),[id$="_PasswordPolicyText"],html,
password.label,Password,Mot de passe,[id$="_PasswordLabel"],text,
password.placeholder,Password,Mot de passe,[id$="_Password"],attr,placeholder
confirm.label,Confirm Password,Confirmez le mot de passe,[id$="_ConfirmPasswordLabel"],text,
confirm.placeholder,Confirm Password,Confirmez le mot de passe,[id$="_ConfirmPassword"],attr,placeholder

login.remember,Remember Password?,Se souvenir du mot de passe ?,label[for$="_Remember2"],text,

required.note,Indicates that the field is required,Indique que le champ est obligatoire,.SmallText .control-label:last-of-type,text,


# Organization Location   DROPDOWN
demo.orgLocation.label,Organization Location,Emplacement de l’organisme,label[for="0bca3586-218f-43b3-b059-0199734a100b-demoDiv"],text,
demo.orgLocation.title,(Organization Location),(Emplacement de l’organisme),[id="0bca3586-218f-43b3-b059-0199734a100b-select"],attr,title
demo.orgLocation.placeholder.option,(Organization Location),(Emplacement de l’organisme),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="00000000-0000-0000-0000-000000000000"],text,

demo.orgLocation.opt.ab,Alberta (AB),Alberta (Alb.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="1fa64f56-58e3-422a-a6d4-0199734a4c08"],text,
demo.orgLocation.opt.bc,British Columbia (BC),Colombie-Britannique (C.-B.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="1886c5aa-b646-4cbc-83e3-0199734a59ca"],text,
demo.orgLocation.opt.mb,Manitoba (MB),Manitoba (Man.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="15c00889-b1ba-4938-9ce2-0199734a6e68"],text,
demo.orgLocation.opt.nb,New Brunswick (NB),Nouveau-Brunswick (N.-B.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="83aa29ae-9221-4c63-bbd7-0199734a8673"],text,
demo.orgLocation.opt.nl,Newfoundland and Labrador (NL),Terre-Neuve-et-Labrador (T.-N.-L.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="0badd8e0-a931-4333-8dac-0199734a9fd4"],text,
demo.orgLocation.opt.nt,Northwest Territories (NT),Territoires du Nord-Ouest (T.N.-O.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="5e4267bc-3ac8-4c5d-baf1-0199734aea7b"],text,
demo.orgLocation.opt.ns,Nova Scotia (NS),Nouvelle-Écosse (N.-É.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="6ef879d4-00b4-453c-bfec-0199734b0057"],text,
demo.orgLocation.opt.nu,Nunavut (NU),Nunavut (Nt),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="d004d0ee-dee7-4da8-8e5a-0199734b0fda"],text,
demo.orgLocation.opt.on,Ontario (ON),Ontario (Ont.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="381b0dd3-d22e-4be1-aa47-0199734b1e8b"],text,
demo.orgLocation.opt.other,Other,Autre,[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="16b8325e-107c-4eae-a2ed-0199734b6d0b"],text,
demo.orgLocation.opt.pe,Prince Edward Island (PE),Île-du-Prince-Édouard (Î.-P.-É.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="7f3e4cad-01f5-433d-bd35-0199734b2d8d"],text,
demo.orgLocation.opt.qc,Quebec (QC),Québec (Qc),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="0fb975d6-f92c-4801-9852-0199734b3bd6"],text,
demo.orgLocation.opt.sk,Saskatchewan (SK),Saskatchewan (Sask.),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="5b3a7785-b326-4729-9ec7-0199734b4d8d"],text,
demo.orgLocation.opt.yt,Yukon (YT),Yukon (Yn),[id="0bca3586-218f-43b3-b059-0199734a100b-select"] option[value="cd009189-0e53-4e97-8809-0199734b5cf3"],text,

demo.orgLocation.error.mustChoose,Must choose a value,Vous devez choisir une valeur,[id="0bca3586-218f-43b3-b059-0199734a100b-demoRow"] .error-message.invalidInputLabel,text,


# Sector  DROPDOWN
demo.sector.label,Sector,Secteur,.demoType[data-demographictypekey="d4aedf2d-a642-4b70-81dd-0199734cd5a1"] .control-label,text,
demo.sector.title,(Sector),(Secteur),[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"],attr,title
demo.sector.placeholder.option,(Sector),(Secteur),[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="00000000-0000-0000-0000-000000000000"],text,

demo.sector.opt.other,Other,Autre,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="80b53b17-197f-4037-8da0-0199734e4c87"],text,
demo.sector.opt.academia,Academia,Milieu universitaire,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="3925d475-cfce-44bd-bd6c-0199734e3c7c"],text,
demo.sector.opt.consulting,Consulting,Consultation,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="27e99515-f6ea-45de-8139-0199734e2d80"],text,
demo.sector.opt.federal,Federal government,Gouvernement fédéral,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="7a2a1dac-c67c-47c0-a1a7-0199734df4b2"],text,
demo.sector.opt.foundation,Foundation,Fondation,[id="d4aedf2d-a642-4b70-81dd-0199734cd5a1-select"] option[value="d74873d0-a56b-4e37-9815-0199734e1e54"],text,
