key,en,fr,selector,type,attr
postMessage.title,Start New Thread,Démarrer un nouveau fil,#PageTitleH1,text,
postMessage.postToCommunity,Post to community,Publier dans la communauté,#ddlSubListContainer label.control-label,text,
postMessage.selectCommunity,Select Community,Sélectionnez une communauté,#MainCopy_ctl03_ddlSublist option[value=""],text,
postMessage.selectCommunity.btn,Select Community,Sélectionnez une communauté,#MainCopy_ctl03_ddlSublist + .bootstrap-select button,attr,title
postMessage.selectCommunity.btnLabel,Select Community,Sélectionnez une communauté,#MainCopy_ctl03_ddlSublist + .bootstrap-select .filter-option,text,
postMessage.selectCommunity.error,Error: Please select a community,Erreur : Veuillez sélectionner une communauté,#ddlSubListContainer .help-block span,text,
postMessage.subject.label,Discussion subject,Sujet de la discussion,#MainCopy_ctl03_PostMessageContributedContent_Label1,text,
postMessage.editor.previewToggle,Automatically insert content preview for links,Insérer automatiquement un aperçu du contenu pour les liens,#MainCopy_ctl03_PostMessageContributedContent_TinyMCEEditor_GeneratePreviewLabel,text,
postMessage.signature.toggle,Signature,Signature,#toggle-signature-btn,text,
postMessage.signature.edit,Edit Your Default Signature,Modifier votre signature par défaut,#edit-signature-link,text,
postMessage.signature.anonymousNote,Signature is not included when posting anonymously,La signature n’est pas incluse lors d’une publication anonyme,#anonymous-no-signature .panel-body span.text-muted,text,
postMessage.attach.add,Add Attachment,Ajouter une pièce jointe,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_UploadButton,text,
postMessage.attach.note,Attachments are automatically saved in the associated library.,Les pièces jointes sont automatiquement enregistrées dans la bibliothèque associée.,.edit-attachment-details .text-muted,text,
postMessage.attach.editDetails,Edit Details,Modifier les détails,.edit-attachment-details .attachment-library-link,text,
postMessage.attach.modal.title,Title,Titre,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_pnlDiscussionModal .modal-title,text,
postMessage.attach.modal.name,Name,Nom,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_tbDiscussionName ~ label.control-label,text,
postMessage.attach.modal.description,Description,Description,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_tbDiscussionDescription ~ label.control-label,text,
postMessage.attach.modal.folder,Folder,Dossier,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_ddlDiscussionFolders ~ label.control-label,text,
postMessage.attach.modal.save,Save,Enregistrer,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_hypDiscussionEditSave,text,
postMessage.attach.modal.cancel,Cancel,Annuler,#MainCopy_ctl03_PostMessageContributedContent_fjUploader_pnlDiscussionModal .modal-footer .btn-default,text,
postMessage.required.modal.title,Required Information,Renseignements requis,#MainCopy_ctl03_PostMessageContributedContent_bsSelectCommunity .modal-title,text,
postMessage.required.modal.lead,The following are required before a file can be attached:,Les éléments suivants sont requis avant de pouvoir joindre un fichier :,#MainCopy_ctl03_PostMessageContributedContent_bsSelectCommunity_spnSelectCommunity,text,
postMessage.required.modal.communityName,community name,nom de la communauté,#MainCopy_ctl03_PostMessageContributedContent_bsSelectCommunity .li-communitynamesingular,text,
postMessage.required.modal.subject,Subject,Sujet,#MainCopy_ctl03_PostMessageContributedContent_bsSelectCommunity .li-subject,text,
postMessage.required.modal.ok,Ok,OK,#MainCopy_ctl03_PostMessageContributedContent_bsSelectCommunity .modal-footer .btn-default,text,
postMessage.schedule.modal.title,Schedule,Planifier,#SchedulePostDatePickerTitle,text,
postMessage.schedule.modal.lead,Specify a date and time to publish your discussion.,Indiquez la date et l’heure de publication de votre discussion.,#modal-schedule-post .modal-body > p:first-of-type,text,
postMessage.schedule.modal.save,Save,Enregistrer,#modal-schedule-post .modal-footer .btn-primary,text,
postMessage.schedule.modal.cancel,Cancel,Annuler,#modal-schedule-post .modal-footer .btn-default,text,
postMessage.actions.post,Post,Publier,#MainCopy_ctl03_PostMessageContributedContent_BtnSave,text,
postMessage.actions.schedule,Schedule,Planifier,#MainCopy_ctl03_PostMessageContributedContent_btnSchedule,text,
postMessage.actions.saveDraft,Save as Draft,Enregistrer comme brouillon,#MainCopy_ctl03_PostMessageContributedContent_BtnSaveAsDraft,text,
postMessage.actions.deleteDraft,Delete Draft,Supprimer le brouillon,#MainCopy_ctl03_PostMessageContributedContent_BtnDeleteDraft,text,
postMessage.actions.cancel,Cancel,Annuler,#MainCopy_ctl03_PostMessageContributedContent_BtnCancel,text,
