key,en,selector,type,attr
"profile.navskiplink.skip-main-navigation-press","Skip main navigation (Press Enter).","#navskiplink","text",""
"common.inbox","Inbox","#RibbitWelcomeMobile","text",""
"common.profile","Profile","#RibbitWelcomeMobile","text",""
"common.my-communities","My Communities","#RibbitWelcomeMobile","text",""
"common.followed-content","Followed Content","#RibbitWelcomeMobile","text",""
"common.log-out","Log Out","#RibbitWelcomeMobile","text",""
"common.toggle-navigation","Toggle navigation","#MPButtonBar","text",""
"common.create","Create","#CreateBtnWrapper","text",""
"profile.createbtnwrapper.toggle-dropdown","Toggle Dropdown","#CreateBtnWrapper","text",""
"common.discussion-thread","Discussion Thread","#HLCreateDiscussionThread","text",""
"common.library-entry","Library Entry","#HLCreateLibraryEntry","text",""
"common.blog-post","Blog Post","#HLCreateBlogPost","text",""
"common.actions","Actions","#MainCopy_ctl02_upnlProfileImage","text",""
"common.change-picture","Change Picture","#MainCopy_ctl02_ManageDropDown1_lnkEditPicture","text",""
"common.restore-default-image","Restore Default Image","#MainCopy_ctl02_ManageDropDown1_lnkDeletePicture","text",""
"profile.maincopy.contentwrapper.contact-details","Contact Details","#MainCopy_ContentWrapper","text",""
"profile.maincopy.ctl10.pnleditcontactinfo.edit-contact-information","Edit Contact Information","#MainCopy_ctl10_pnlEditContactInfo","text",""
"profile.maincopy.ctl10.emailaddresslabel.email-address","Email Address","#MainCopy_ctl10_EmailAddressLabel","text",""
"profile.maincopy.ctl10.requiredfieldvalidatoremailaddress.email-address-is-required","Email address is required","#MainCopy_ctl10_RequiredFieldValidatorEmailAddress","text",""
"profile.maincopy.ctl10.regularexpressionvalidatoremailaddress.enter-a-valid-email","Enter a valid email address","#MainCopy_ctl10_RegularExpressionValidatorEmailAddress","text",""
"profile.maincopy.ctl10.lblcompanyname.company-name","Company Name","#MainCopy_ctl10_lblCompanyName","text",""
"profile.maincopy.ctl10.lbltitle.job-title","Job Title","#MainCopy_ctl10_lblTitle","text",""
"profile.maincopy.ctl10.departmentlabel.department","Department","#MainCopy_ctl10_DepartmentLabel","text",""
"profile.maincopy.ctl10.lbladdress1.address-1","Address 1","#MainCopy_ctl10_lblAddress1","text",""
"profile.maincopy.ctl10.lbladdress2.address-2","Address 2","#MainCopy_ctl10_lblAddress2","text",""
"profile.maincopy.ctl10.lblcity.city","City","#MainCopy_ctl10_lblCity","text",""
"profile.lblcountry.country","Country","#lblCountry","text",""
"profile.maincopy.ctl10.uccountrystateprovincelist.ddlcountry.country","(Country)","#MainCopy_ctl10_ucCountryStateProvinceList_ddlCountry","text",""
"profile.maincopy.ctl10.lblpostalcode.postal-code","Postal Code","#MainCopy_ctl10_lblPostalCode","text",""
"profile.maincopy.ctl10.websiteurllabel.website-url","Website URL","#MainCopy_ctl10_WebsiteUrlLabel","text",""
